"Year","Geography","Geography.Type","Geography.Note","Data.Type","Total.Violent.Criminal.Code.Violations","Homicide","Murder..First.degree","Murder..Second.degree","Manslaughter","Total.other.violations.causing.death","Attempted.Murder","Sexual.Assault..Level.3..Aggravated","Sexual.Assault..Level.2..with.a.Weapon.or.Bodily.Harm","Sexual.Assault..Level.1","Total.Sexual.Violations.Against.Children","Luring.a.child.via.a.computer","Assault..Level.3..Aggravated","Assault..Level.2..with.Weapon.or.Causing.Bodily.Harm","Assault..Level.1","Assault.Peace.Officer","Total.Other.Assaults","Total.Firearms..use.of...discharge..pointing","Total.Robbery","Total.forcible.confinement.or.kidnapping","Total.Abduction","Extortion","Criminal.Harassment","Uttering.Threats","Threatening.or.Harassing.Phone.Calls","Total.Other.Violent.Violations","Total.Property.Crime.Violations","Total.Breaking.And.Entering","Possession.of.Stolen.Property","Total.Theft.of.Motor.Vehicle","Theft.of.Motor.Vehicle.Over..5.000","Theft.of.Motor.Vehicle..5.000.or.Under","Total.Theft.Over..5.000","Theft.Over..5.000..non.motor.vehicle.","Theft.Over..5.000.from.a.motor.vehicle","Shoplifting.Over..5.000","Total.Theft.Under..5.000","Theft..5.000.or.under..non.motor.vehicle.","Theft..5.000.or.under.from.a.motor.vehicle","Shoplifting..5.000.or.Under","Fraud","Identity.Theft","Identity.Fraud","Total.Mischief","Arson","Total.Other.Criminal.Code.Violations","Counterfeiting","Total.weapons.violations","Possession.of.weapons","Firearms.documentation.or.administration","Child.pornography","Total.prostitution","Disturb.the.peace","Total.administration.of.justice.violations","Fail.to.comply.with.order","Prisoner.unlawfully.at.large","Fail.to.appear","Breach.of.probation","Other.violations.against.the.administration.of.law.and.justice","Total.other.violations","Indecent.acts","Obstruct.public.or.peace.officer","Trespass.at.night","Utter.threats.to.property.or.animal","Firearms.and.other.offensive.weapons","Proceeds.of.crime","Total.Criminal.Code.Traffic.Violations","Total.Impaired.Driving","Impaired.Operation..Causing.Death","Impaired.Operation..Causing.Bodily.Harm","Impaired.Operation.of.Motor.Vehicle..Vessel.or.Aircraft","Impaired.Operation..Drugs..Vehicle..Vessel.or.Aircraft","Impaired.Operation..Failure.to.Provide.Beath.Sample","Failure.to.Comply.or.Refusal..Drugs.","Impaired.Operation..Failure.to.Provide.Blood.Sample","Failure.to.Provide.Blood.Sample..Drugs.","Total.Other.Criminal.Code.Traffic.Violations","Dangerous.Operation..Causing.Death","Dangerous.Operation..Causing.Bodily.Harm","Dangerous.Operation.of.Motor.Vehicle..Vessel.or.Aircraft","Dangerous.Operation.Evading.Police..Causing.Death","Dangerous.Operation.Evading.Police..Causing.Bodily.Harm","Dangerous.Operation.of.Motor.Vehicle.Evading.Police","Failure.to.Stop.or.Remain","Driving.While.Prohibited","Other.Criminal.Code.Traffic.Violations","Causing.Bodily.Harm.by.Criminal.Negligence.While.Street.Racing","Dangerous.Operation.Causing.Death.While.Street.Racing","Dangerous.Operation.Causing.Bodily.Harm.While.Street.Racing","Dangerous.Operation.of.Motor.Vehicle.While.Street.Racing","Total.Federal.Statute.Violations","Posession..Cannabis","Possession..Cocaine","Total..Possession..Other.Controlled.Drugs.and.Substances.Act.Drugs","Total.Cannabis..Trafficking..Production.or.Distribution","Total.Cocaine..Trafficking..Production.or.Distribution","Total.Other.Controlled.Drugs.and.Substances.Act.Drugs..Trafficking..Production.or.Distribution","Youth.Criminal.Justice.Act","Total.Other.Federal.Statutes","Bankruptcy.Act","Income.Tax.Act","Canada.Shipping.Act","Canada.Health.Act","Customs.Act","Competition.Act","Excise.Act","Immigration...Refugee.Protection.Act","Firearms.Act","National.Defense.Act","Other.Federal.Statutes"
"2006","Burin Peninsula District, RCMP","Police Region","","actual_incidents","273","0","0","0","0","0","0","0","0","9","0","0","1","27","118","2","1","1","0","1","0","0","6","74","32","1","719","132","6","17","0","18","2","2","0","0","161","141","18","2","30","0","0","369","2","163","0","4","2","0","0","0","75","63","36","0","2","23","2","21","1","1","4","0","4","0","58","33","0","0","32","0","1","0","0","0","25","0","0","8","0","0","2","13","2","0","0","0","0","0","75","7","1","1","10","5","3","1","47","0","0","4","0","14","0","25","0","1","0","3"
"2006","Placentia-Whitbourne District, RCMP","Police Region","","actual_incidents","112","0","0","0","0","0","2","0","0","9","0","0","0","11","48","0","0","0","0","1","1","0","3","19","14","4","350","89","9","10","0","2","1","1","0","0","66","60","2","4","3","0","0","163","9","69","0","2","1","0","1","0","28","28","18","0","1","6","3","10","1","1","1","0","1","0","34","25","0","0","25","0","0","0","0","0","9","0","0","3","0","0","1","0","5","0","0","0","0","0","25","7","3","1","7","3","0","0","4","0","0","0","0","2","0","1","0","1","0","0"
"2006","Trinity-Conception District, RCMP","Police Region","","actual_incidents","417","0","0","0","0","0","0","0","0","11","0","0","1","36","169","3","0","0","2","3","0","0","5","127","58","2","926","199","8","20","0","28","6","6","0","0","202","172","28","2","36","0","0","452","3","248","0","4","3","0","1","1","180","37","23","0","0","11","3","25","1","2","1","0","2","0","154","122","1","1","118","0","1","0","1","0","32","0","1","2","0","0","1","22","6","0","0","0","0","0","43","10","0","3","7","0","2","2","19","0","0","0","0","0","0","4","0","5","0","10"
"2006","Avalon East District, RCMP","Police Region","","actual_incidents","181","1","1","0","0","0","0","0","0","2","0","0","0","9","69","0","1","0","1","4","0","0","11","53","25","5","643","193","6","18","0","20","3","3","0","0","98","78","20","0","10","0","0","303","12","99","0","6","5","0","1","0","49","28","18","0","0","5","5","15","2","0","4","0","2","0","59","43","0","0","41","0","2","0","0","0","16","0","0","8","0","0","0","6","2","0","0","0","0","0","32","6","1","1","7","0","4","1","12","0","0","0","0","1","0","5","0","0","0","6"
"2007","Labrador West, R.N.C.","Police Region","","actual_incidents","113","0","0","0","0","0","0","0","0","7","0","0","0","9","69","2","0","0","0","0","0","0","1","20","4","1","223","24","0","4","0","6","4","4","0","0","64","50","6","8","12","0","0","115","0","79","0","8","1","7","1","0","34","32","15","0","1","8","8","4","1","1","0","0","0","0","30","29","0","0","24","0","5","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","25","10","2","1","3","3","1","4","1","0","0","0","0","0","0","0","0","1","0","0"
"2007","Corner Brook, R.N.C.","Police Region","The Corner Brook RNC region includes the municipality of Corner Brook only.","actual_incidents","224","1","0","1","0","0","0","0","0","11","0","0","0","21","100","1","0","1","5","0","0","0","6","62","16","0","706","66","10","12","0","48","3","2","0","1","325","162","48","115","80","0","0","208","2","242","0","5","1","3","1","1","92","125","81","3","12","21","7","18","5","4","0","0","0","1","62","57","0","0","56","0","1","0","0","0","5","0","0","1","0","0","1","0","3","0","0","0","0","0","119","53","3","1","16","3","0","42","1","0","0","0","0","0","0","1","0","0","0","0"
"2007","Northeast Avalon R.N.C","Police Region","","actual_incidents","2811","1","0","1","0","0","0","0","4","118","0","0","5","276","1135","27","0","6","135","16","4","5","93","669","309","8","9395","1877","64","379","3","1383","20","15","3","2","3654","1349","1383","922","741","0","0","2520","140","1188","3","119","42","70","9","4","262","631","348","12","15","82","172","160","45","10","4","0","2","38","618","558","0","5","534","0","18","0","1","0","60","0","0","10","0","0","15","6","29","0","0","0","0","0","568","127","20","12","56","36","10","38","269","0","0","1","0","0","0","125","1","0","0","142"
"2007","Labrador District, RCMP","Police Region","","actual_incidents","1185","1","0","1","0","0","0","0","3","72","0","0","6","122","747","25","0","1","8","6","0","2","8","129","48","7","3605","382","29","67","0","18","7","7","0","0","289","267","18","4","36","0","0","2771","24","1003","0","8","7","0","1","0","668","292","192","5","2","72","19","34","0","5","1","0","4","0","214","185","0","0","183","0","2","0","0","0","29","0","0","12","0","0","4","4","9","0","0","0","0","0","147","22","2","2","25","12","5","66","13","0","0","0","0","0","0","1","0","1","0","11"
"2007","Northern Peninsula District, RCMP","Police Region","","actual_incidents","117","0","0","0","0","0","0","0","0","13","0","0","0","4","54","2","0","0","0","2","1","0","0","33","7","1","146","20","1","8","0","2","2","2","0","0","26","18","2","6","11","0","0","78","0","50","0","1","0","0","1","0","20","15","11","0","0","2","2","13","1","3","1","0","0","0","48","36","0","0","33","0","2","0","1","0","12","0","0","4","0","0","0","4","4","0","0","0","0","0","35","18","1","1","2","3","3","0","7","0","0","0","0","0","0","2","0","1","0","4"
"2007","Deer Lake District, RCMP","Police Region","","actual_incidents","290","0","0","0","0","0","0","0","0","26","0","0","1","18","142","3","1","0","0","0","1","0","9","67","18","4","494","90","6","14","0","11","4","4","0","0","125","113","11","1","28","0","0","222","5","129","0","7","4","0","1","0","52","61","39","0","0","13","9","8","1","1","0","0","1","1","61","50","0","0","49","0","1","0","0","0","11","0","1","4","0","0","0","4","2","0","0","0","0","0","74","21","2","2","11","4","1","3","30","0","0","1","0","0","0","17","0","2","0","10"
