"Year","Geography","Geography.Type","Geography.Note","Data.Type","Total.Violent.Criminal.Code.Violations","Homicide","Murder..First.degree","Murder..Second.degree","Manslaughter","Total.other.violations.causing.death","Attempted.Murder","Sexual.Assault..Level.3..Aggravated","Sexual.Assault..Level.2..with.a.Weapon.or.Bodily.Harm","Sexual.Assault..Level.1","Total.Sexual.Violations.Against.Children","Luring.a.child.via.a.computer","Assault..Level.3..Aggravated","Assault..Level.2..with.Weapon.or.Causing.Bodily.Harm","Assault..Level.1","Assault.Peace.Officer","Total.Other.Assaults","Total.Firearms..use.of...discharge..pointing","Total.Robbery","Total.forcible.confinement.or.kidnapping","Total.Abduction","Extortion","Criminal.Harassment","Uttering.Threats","Threatening.or.Harassing.Phone.Calls","Total.Other.Violent.Violations","Total.Property.Crime.Violations","Total.Breaking.And.Entering","Possession.of.Stolen.Property","Total.Theft.of.Motor.Vehicle","Theft.of.Motor.Vehicle.Over..5.000","Theft.of.Motor.Vehicle..5.000.or.Under","Total.Theft.Over..5.000","Theft.Over..5.000..non.motor.vehicle.","Theft.Over..5.000.from.a.motor.vehicle","Shoplifting.Over..5.000","Total.Theft.Under..5.000","Theft..5.000.or.under..non.motor.vehicle.","Theft..5.000.or.under.from.a.motor.vehicle","Shoplifting..5.000.or.Under","Fraud","Identity.Theft","Identity.Fraud","Total.Mischief","Arson","Total.Other.Criminal.Code.Violations","Counterfeiting","Total.weapons.violations","Possession.of.weapons","Firearms.documentation.or.administration","Child.pornography","Total.prostitution","Disturb.the.peace","Total.administration.of.justice.violations","Fail.to.comply.with.order","Prisoner.unlawfully.at.large","Fail.to.appear","Breach.of.probation","Other.violations.against.the.administration.of.law.and.justice","Total.other.violations","Indecent.acts","Obstruct.public.or.peace.officer","Trespass.at.night","Utter.threats.to.property.or.animal","Firearms.and.other.offensive.weapons","Proceeds.of.crime","Total.Criminal.Code.Traffic.Violations","Total.Impaired.Driving","Impaired.Operation..Causing.Death","Impaired.Operation..Causing.Bodily.Harm","Impaired.Operation.of.Motor.Vehicle..Vessel.or.Aircraft","Impaired.Operation..Drugs..Vehicle..Vessel.or.Aircraft","Impaired.Operation..Failure.to.Provide.Beath.Sample","Failure.to.Comply.or.Refusal..Drugs.","Impaired.Operation..Failure.to.Provide.Blood.Sample","Failure.to.Provide.Blood.Sample..Drugs.","Total.Other.Criminal.Code.Traffic.Violations","Dangerous.Operation..Causing.Death","Dangerous.Operation..Causing.Bodily.Harm","Dangerous.Operation.of.Motor.Vehicle..Vessel.or.Aircraft","Dangerous.Operation.Evading.Police..Causing.Death","Dangerous.Operation.Evading.Police..Causing.Bodily.Harm","Dangerous.Operation.of.Motor.Vehicle.Evading.Police","Failure.to.Stop.or.Remain","Driving.While.Prohibited","Other.Criminal.Code.Traffic.Violations","Causing.Bodily.Harm.by.Criminal.Negligence.While.Street.Racing","Dangerous.Operation.Causing.Death.While.Street.Racing","Dangerous.Operation.Causing.Bodily.Harm.While.Street.Racing","Dangerous.Operation.of.Motor.Vehicle.While.Street.Racing","Total.Federal.Statute.Violations","Posession..Cannabis","Possession..Cocaine","Total..Possession..Other.Controlled.Drugs.and.Substances.Act.Drugs","Total.Cannabis..Trafficking..Production.or.Distribution","Total.Cocaine..Trafficking..Production.or.Distribution","Total.Other.Controlled.Drugs.and.Substances.Act.Drugs..Trafficking..Production.or.Distribution","Youth.Criminal.Justice.Act","Total.Other.Federal.Statutes","Bankruptcy.Act","Income.Tax.Act","Canada.Shipping.Act","Canada.Health.Act","Customs.Act","Competition.Act","Excise.Act","Immigration...Refugee.Protection.Act","Firearms.Act","National.Defense.Act","Other.Federal.Statutes"
"2011","Burin Peninsula District, RCMP","Police Region","","tot_youth_charged","14","0","0","0","0","0","0","0","0","1","0","0","0","1","9","0","0","0","0","0","0","0","0","3","0","0","31","14","2","3","0","0","0","0","0","0","4","1","0","3","0","0","0","8","0","16","0","1","1","0","0","0","1","14","13","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","2","0","0","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"2011","Placentia-Whitbourne District, RCMP","Police Region","","tot_youth_charged","19","0","0","0","0","0","0","0","0","0","0","0","0","2","14","0","0","0","0","0","0","0","0","3","0","0","3","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2011","Trinity-Conception District, RCMP","Police Region","","tot_youth_charged","12","0","0","0","0","0","0","0","0","0","0","0","0","4","6","0","0","0","0","0","0","0","1","0","0","1","6","1","0","0","2","0","2","0","2","0","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","1","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"2011","Avalon East District, RCMP","Police Region","","tot_youth_charged","23","0","0","0","0","0","0","0","0","3","0","0","0","1","14","1","0","0","0","1","0","0","0","3","0","0","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","0","0","0","0","0","0","6","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2012","Labrador West, R.N.C.","Police Region","","tot_youth_charged","3","0","0","0","0","0","0","0","0","0","0","0","0","1","2","0","0","0","0","0","0","0","0","0","0","0","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2012","Corner Brook, R.N.C.","Police Region","The Corner Brook RNC region includes the municipality of Corner Brook only.","tot_youth_charged","17","0","0","0","0","0","0","0","0","1","0","0","0","3","9","0","0","0","0","0","0","0","0","4","0","0","32","3","2","3","0","7","0","0","0","0","18","1","7","10","0","0","0","6","0","22","0","0","0","0","0","0","0","19","10","0","3","2","4","3","0","1","0","2","0","0","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","16","1","0","1","1","0","0","13","0","0","0","0","0","0","0","0","0","0","0","0"
"2012","Northeast Avalon R.N.C","Police Region","","tot_youth_charged","99","0","0","0","0","0","0","0","0","0","0","0","1","16","56","5","0","0","7","0","0","0","1","13","0","0","80","8","6","2","0","1","2","1","0","1","34","4","1","29","5","0","0","23","0","57","0","7","6","1","0","0","0","49","28","0","0","15","5","1","0","0","0","1","0","0","2","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","29","6","0","3","1","1","1","17","0","0","0","0","0","0","0","0","0","0","0","0"
"2012","Labrador District, RCMP","Police Region","","tot_youth_charged","28","0","0","0","0","0","0","0","0","1","0","0","0","4","17","2","0","1","0","0","0","0","0","3","0","0","28","12","1","4","0","1","0","0","0","0","2","0","1","1","0","0","0","7","2","21","0","0","0","0","0","0","3","17","17","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","16","2","0","0","0","0","0","9","5","0","0","0","0","0","0","0","0","0","0","5"
"2012","Northern Peninsula District, RCMP","Police Region","","tot_youth_charged","8","0","0","0","0","0","0","0","0","4","0","0","0","1","3","0","0","0","0","0","0","0","0","0","0","0","6","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"2012","Deer Lake District, RCMP","Police Region","","tot_youth_charged","16","0","0","0","0","0","0","0","0","0","0","0","0","5","4","1","0","2","1","0","0","0","1","2","0","0","16","2","0","8","0","2","0","0","0","0","3","1","2","0","0","0","0","3","0","5","0","2","2","0","0","0","0","3","3","0","0","0","0","0","0","0","0","0","0","0","3","1","0","0","1","0","0","0","0","0","2","0","0","1","0","0","0","1","0","0","0","0","0","0","7","1","1","1","1","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0"
"2012","Bay St. George District, RCMP","Police Region","","tot_youth_charged","12","0","0","0","0","0","0","0","0","0","1","0","0","2","3","1","0","0","0","0","0","0","0","5","0","0","27","8","7","3","0","0","0","0","0","0","5","2","0","3","1","0","0","3","0","17","0","0","0","0","0","0","1","16","14","0","0","2","0","0","0","0","0","0","0","0","3","2","0","0","2","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","7","2","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0"
"2012","Grand Falls-Windsor District, RCMP","Police Region","","tot_youth_charged","25","0","0","0","0","0","0","0","0","0","0","0","0","2","16","1","0","0","0","3","0","0","0","3","0","0","26","6","1","2","0","0","0","0","0","0","9","2","0","7","0","0","0","7","1","16","0","0","0","0","0","0","1","14","14","0","0","0","0","1","0","0","0","1","0","0","5","1","0","0","1","0","0","0","0","0","4","0","0","2","0","0","2","0","0","0","0","0","0","0","5","1","0","0","1","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0"
"2012","Gander-Lewisporte District, RCMP","Police Region","","tot_youth_charged","26","0","0","0","0","0","0","0","0","6","0","0","0","6","9","0","0","0","0","0","0","0","0","5","0","0","24","5","1","2","0","2","0","0","0","0","4","2","2","0","0","0","0","12","0","3","0","0","0","0","1","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","1","1","0","0","0","0","0","0","8","1","0","1","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0"
"2012","Clarenville-Bonavista District, RCMP","Police Region","","tot_youth_charged","10","0","0","0","0","0","0","0","0","4","0","0","0","1","4","0","0","0","0","0","0","0","0","1","0","0","17","11","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","5","0","3","0","0","0","0","0","0","0","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0"
"2012","Burin Peninsula District, RCMP","Police Region","","tot_youth_charged","11","0","0","0","0","0","0","0","0","1","1","0","0","0","3","2","0","0","0","0","0","0","0","4","0","0","19","5","5","1","0","0","0","0","0","0","5","1","0","4","1","0","0","2","0","21","0","0","0","0","0","0","1","17","16","0","1","0","0","3","1","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","18","5","0","0","0","0","0","13","0","0","0","0","0","0","0","0","0","0","0","0"
"2012","Placentia-Whitbourne District, RCMP","Police Region","","tot_youth_charged","11","0","0","0","0","0","0","0","0","1","0","0","0","4","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2012","Trinity-Conception District, RCMP","Police Region","","tot_youth_charged","8","0","0","0","0","0","0","0","0","3","0","0","0","1","3","0","0","0","1","0","0","0","0","0","0","0","14","4","2","1","0","1","0","0","0","0","3","2","1","0","0","0","0","2","2","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2012","Avalon East District, RCMP","Police Region","","tot_youth_charged","12","0","0","0","0","0","0","0","0","0","1","0","0","3","7","0","0","0","0","0","0","0","0","1","0","0","16","2","3","2","0","0","0","0","0","0","5","2","0","3","0","0","0","4","0","1","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013","Labrador West, R.N.C.","Police Region","","tot_youth_charged","4","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","3","2","0","0","2","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1"
"2013","Corner Brook, R.N.C.","Police Region","The Corner Brook RNC region includes the municipality of Corner Brook only.","tot_youth_charged","23","0","0","0","0","0","0","0","0","0","0","0","0","3","14","0","0","0","2","0","0","1","0","3","0","0","30","7","0","4","0","1","0","0","0","0","11","6","1","4","1","0","0","7","0","34","0","0","0","0","0","0","0","33","19","0","3","9","2","1","0","0","0","1","0","0","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","17","3","0","1","0","0","0","13","0","0","0","0","0","0","0","0","0","0","0","0"
"2013","Northeast Avalon R.N.C","Police Region","","tot_youth_charged","119","0","0","0","0","0","0","0","0","4","0","0","0","23","64","6","0","0","8","0","0","0","0","13","0","1","62","3","1","4","0","1","2","2","0","0","32","6","1","25","4","0","0","15","1","61","0","3","3","0","0","0","0","56","41","1","1","7","4","2","0","0","0","0","0","0","2","1","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","37","5","0","1","1","0","0","30","0","0","0","0","0","0","0","0","0","0","0","0"
"2013","Labrador District, RCMP","Police Region","","tot_youth_charged","32","0","0","0","0","0","0","0","0","3","0","0","0","5","14","2","0","1","0","0","0","0","0","2","0","5","39","28","0","1","0","0","0","0","0","0","2","2","0","0","0","0","0","7","1","23","0","0","0","0","0","0","0","23","23","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","0","0","0","1","0","3","2","0","0","0","0","0","0","0","0","0","0","2"
"2013","Northern Peninsula District, RCMP","Police Region","","tot_youth_charged","6","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","1","0","0","0","0","0","0","1","0","2","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013","Deer Lake District, RCMP","Police Region","","tot_youth_charged","11","0","0","0","0","0","0","0","0","1","0","0","0","2","4","0","0","0","0","0","0","0","0","4","0","0","14","8","0","0","0","0","0","0","0","0","5","5","0","0","0","0","0","1","0","5","0","0","0","0","0","0","0","4","2","0","0","2","0","1","0","0","0","1","0","0","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"2013","Bay St. George District, RCMP","Police Region","","tot_youth_charged","20","0","0","0","0","0","0","0","0","3","0","0","0","5","9","2","0","0","0","0","0","0","0","1","0","0","34","7","5","0","0","2","0","0","0","0","10","5","2","3","0","0","0","12","0","35","0","0","0","0","0","0","1","33","32","0","0","1","0","1","0","1","0","0","0","0","2","0","0","0","0","0","0","0","0","0","2","0","0","2","0","0","0","0","0","0","0","0","0","0","11","3","0","1","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0"
"2013","Grand Falls-Windsor District, RCMP","Police Region","","tot_youth_charged","23","0","0","0","0","0","0","0","0","2","0","0","0","2","13","1","0","0","3","0","0","0","0","2","0","0","45","10","2","3","0","2","1","1","0","0","6","1","2","3","0","0","0","22","1","5","0","1","1","0","0","0","0","4","3","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","1","1","0","1","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0"
"2013","Gander-Lewisporte District, RCMP","Police Region","","tot_youth_charged","12","0","0","0","0","0","0","0","0","1","0","0","2","5","3","0","0","0","0","0","0","0","0","1","0","0","19","6","3","3","0","1","0","0","0","0","6","3","1","2","0","0","0","1","0","7","0","1","1","0","4","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"2013","Clarenville-Bonavista District, RCMP","Police Region","","tot_youth_charged","6","0","0","0","0","0","0","0","0","0","0","0","0","1","2","1","0","0","0","0","0","0","0","2","0","0","10","0","1","0","0","0","0","0","0","0","3","3","0","0","1","0","0","5","0","3","0","0","0","0","0","0","0","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","0","0","0","1","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0"
"2013","Burin Peninsula District, RCMP","Police Region","","tot_youth_charged","7","0","0","0","0","0","0","0","0","0","0","0","0","1","4","0","0","0","0","0","0","0","1","1","0","0","25","5","2","0","0","0","0","0","0","0","7","2","0","5","3","0","0","8","0","9","0","0","0","0","0","0","2","7","6","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","1","0","0","3","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0"
"2013","Placentia-Whitbourne District, RCMP","Police Region","","tot_youth_charged","7","0","0","0","0","0","0","0","0","0","0","0","0","1","5","0","0","0","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","1","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013","Trinity-Conception District, RCMP","Police Region","","tot_youth_charged","16","0","0","0","0","0","0","0","0","1","0","0","1","4","9","0","0","0","0","0","0","0","0","1","0","0","19","14","0","2","0","0","0","0","0","0","1","1","0","0","0","0","0","2","0","1","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013","Avalon East District, RCMP","Police Region","","tot_youth_charged","9","0","0","0","0","0","0","0","0","0","0","0","0","2","4","0","0","0","0","0","0","0","0","3","0","0","15","9","0","1","0","1","0","0","0","0","2","0","1","1","0","0","0","3","0","3","0","0","0","0","0","0","0","2","2","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","2","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"2006","Labrador West, R.N.C.","Police Region","","total_cleared","47","0","0","0","0","0","0","0","0","2","0","0","0","2","26","0","4","0","0","1","0","0","0","10","1","1","31","3","0","5","0","0","0","0","0","0","6","4","0","2","2","0","0","14","1","29","0","0","0","0","0","0","4","25","11","0","1","12","1","0","0","0","0","0","0","0","27","27","0","2","21","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11","1","0","0","0","0","1","9","0","0","0","0","0","0","0","0","0","0","0","0"
"2006","Corner Brook, R.N.C.","Police Region","The Corner Brook RNC region includes the municipality of Corner Brook only.","total_cleared","107","1","0","1","0","0","0","0","0","1","0","0","1","18","56","4","0","1","2","1","0","0","3","17","1","1","198","25","5","5","0","10","1","1","0","0","105","20","10","75","29","0","0","28","0","101","0","0","0","0","1","0","6","88","60","2","4","16","4","6","1","1","0","0","0","1","29","26","0","0","24","0","2","0","0","0","3","0","0","1","0","0","0","0","2","0","0","0","0","0","88","33","1","0","11","0","0","43","0","0","0","0","0","0","0","0","0","0","0","0"
"2006","Northeast Avalon R.N.C","Police Region","","total_cleared","855","1","0","1","0","0","1","0","2","25","0","0","5","137","404","28","0","1","25","4","0","0","18","201","2","1","1295","143","71","37","0","22","4","2","0","2","713","126","22","565","199","0","0","124","4","561","2","21","19","0","5","2","8","467","307","16","22","75","46","56","5","9","4","0","0","25","300","246","0","4","232","0","10","0","0","0","54","0","0","5","0","0","19","2","28","0","0","0","0","0","121","19","4","1","29","12","8","38","10","0","0","0","0","0","0","9","0","0","0","1"
"2006","Labrador District, RCMP","Police Region","","total_cleared","1106","1","0","1","0","0","1","2","3","54","0","0","10","111","678","29","1","0","1","11","0","0","11","149","40","4","2304","156","17","30","0","4","3","3","0","0","90","85","4","1","29","0","0","1976","3","1235","1","6","4","0","0","0","936","261","176","2","1","58","17","31","0","9","1","0","2","0","111","95","1","0","92","0","2","0","0","0","16","0","1","5","0","0","1","3","6","0","0","0","0","0","48","17","3","1","5","1","1","6","14","0","0","0","0","1","0","0","0","3","0","10"
"2006","Northern Peninsula District, RCMP","Police Region","","total_cleared","79","0","0","0","0","0","0","0","0","5","0","0","0","6","36","4","0","0","0","1","0","0","2","19","4","2","38","8","1","2","0","0","1","1","0","0","6","6","0","0","2","0","0","18","0","29","0","3","2","0","1","0","8","14","4","1","1","5","2","3","1","2","0","0","0","0","15","14","0","0","14","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","6","5","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2006","Deer Lake District, RCMP","Police Region","","total_cleared","234","0","0","0","0","0","0","0","0","11","0","0","0","26","116","1","1","0","0","3","0","0","7","50","16","3","207","31","3","6","0","1","1","1","0","0","53","49","1","3","9","0","0","104","0","132","1","6","5","0","0","0","61","54","33","0","0","20","1","10","1","0","0","0","2","1","72","60","0","2","54","0","3","0","1","0","12","0","2","6","0","0","1","1","2","0","0","0","0","0","28","14","0","1","5","1","1","1","5","0","0","0","0","0","0","2","0","0","0","3"
"2006","Bay St. George District, RCMP","Police Region","","total_cleared","392","0","0","0","0","0","0","0","1","14","0","0","0","37","189","8","1","0","2","3","0","0","14","100","21","2","399","57","11","11","0","14","4","4","0","0","103","67","14","22","10","0","0","201","2","263","1","6","4","0","0","0","129","106","73","0","3","25","3","21","2","4","0","0","0","0","62","52","0","1","45","0","6","0","0","0","10","0","2","3","0","0","2","1","2","0","0","0","0","0","56","16","1","3","7","2","2","8","17","0","0","0","0","0","0","5","0","0","0","12"
"2006","Grand Falls-Windsor District, RCMP","Police Region","","total_cleared","394","2","2","0","0","0","0","0","1","7","0","0","1","32","197","4","0","0","2","9","0","1","3","109","25","1","300","55","7","3","0","8","2","2","0","0","86","59","8","19","21","0","0","125","1","163","0","2","2","0","0","0","99","42","28","0","1","10","2","20","3","1","3","0","2","0","42","28","0","0","27","0","1","0","0","0","14","0","0","4","0","0","3","4","3","0","0","0","0","0","37","11","0","4","2","1","0","7","12","0","0","9","0","0","0","1","0","1","0","1"
"2006","Gander-Lewisporte District, RCMP","Police Region","","total_cleared","343","0","0","0","0","0","0","0","0","20","0","0","0","32","165","4","0","0","1","3","0","1","9","81","27","0","266","39","8","12","0","8","1","1","0","0","74","47","8","19","19","0","0","113","0","130","0","5","3","0","0","0","77","32","20","0","1","8","3","16","2","2","3","0","0","0","64","54","0","2","44","0","8","0","0","0","10","0","0","4","0","0","1","0","5","0","0","0","0","0","80","14","1","3","9","3","1","0","49","0","0","38","0","0","0","2","0","0","0","9"
"2006","Clarenville-Bonavista District, RCMP","Police Region","","total_cleared","208","1","1","0","0","0","0","0","0","13","0","0","0","9","116","4","1","0","1","0","0","0","2","50","11","0","162","26","5","7","0","1","1","1","0","0","42","36","1","5","13","0","0","68","0","100","1","2","2","0","0","0","53","34","13","0","1","15","5","10","1","2","0","0","0","1","57","46","0","1","43","0","2","0","0","0","11","0","0","2","0","0","5","3","1","0","0","0","0","0","30","18","0","0","6","1","0","2","3","0","0","1","0","0","0","0","0","0","0","2"
"2006","Burin Peninsula District, RCMP","Police Region","","total_cleared","197","0","0","0","0","0","0","0","0","6","0","0","1","23","96","2","0","1","0","1","0","0","2","51","14","0","242","39","5","6","0","2","2","2","0","0","53","51","2","0","11","0","0","126","0","120","0","0","0","0","0","0","44","62","36","0","2","23","1","14","1","1","2","0","3","0","39","27","0","1","25","0","1","0","0","0","12","0","1","7","0","0","1","2","1","0","0","0","0","0","20","4","0","1","3","1","1","1","9","0","0","4","0","0","0","3","0","0","0","2"
"2006","Placentia-Whitbourne District, RCMP","Police Region","","total_cleared","91","0","0","0","0","0","2","0","0","5","0","0","0","11","46","0","0","0","0","0","0","0","2","13","8","4","67","9","8","4","0","1","1","1","0","0","13","8","1","4","2","0","0","30","0","40","0","1","1","0","0","0","12","23","14","0","1","6","2","4","1","1","0","0","0","0","28","19","0","0","19","0","0","0","0","0","9","0","0","3","0","0","1","0","5","0","0","0","0","0","15","5","2","0","5","2","0","0","1","0","0","0","0","1","0","0","0","0","0","0"
"2006","Trinity-Conception District, RCMP","Police Region","","total_cleared","319","0","0","0","0","0","0","0","0","8","0","0","1","36","141","4","0","0","2","2","0","0","5","99","20","1","295","66","6","9","0","0","2","2","0","0","72","69","0","3","3","0","0","137","0","136","0","4","2","0","0","0","85","33","26","0","0","5","2","14","0","2","1","0","1","0","58","47","0","2","43","0","1","0","1","0","11","0","1","2","0","0","1","1","6","0","0","0","0","0","26","8","0","1","6","0","2","2","7","0","0","0","0","0","0","2","0","0","0","5"
"2006","Avalon East District, RCMP","Police Region","","total_cleared","137","1","1","0","0","0","0","0","0","1","0","0","0","8","63","0","0","0","1","4","0","0","10","36","9","4","108","25","2","3","0","0","1","1","0","0","7","7","0","0","11","0","0","59","0","60","0","4","3","0","0","0","28","24","16","0","0","4","4","4","1","0","0","0","0","0","57","47","0","0","45","0","2","0","0","0","10","0","0","8","0","0","0","1","1","0","0","0","0","0","17","4","1","1","3","0","1","1","6","0","0","0","0","1","0","0","0","0","0","5"
"2007","Labrador West, R.N.C.","Police Region","","total_cleared","61","0","0","0","0","0","0","0","0","6","0","0","0","7","37","2","0","0","0","0","0","0","1","6","1","1","25","2","1","0","0","0","0","0","0","0","5","2","0","3","3","0","0","14","0","23","0","1","1","0","0","0","3","18","10","0","1","5","2","1","0","1","0","0","0","0","22","22","0","0","17","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11","5","1","0","0","0","0","4","1","0","0","0","0","0","0","1","0","0","0","0"
